game_id,team_id,HoA,won,head_coach,goals,shots,hits,pim
2020020055,28,away,False,Bob Boughner,1,38,12,10
2020020059,24,home,False,Dallas Eakins,2,24,21,8
2020020059,30,away,False,Dean Evason,3,32,20,4
2020020057,23,home,False,Travis Green,5,28,34,2
2020020057,8,away,False,Claude Julien,5,36,38,12
2020020058,54,home,True,Peter DeBoer,5,29,23,8
2020020058,53,away,True,Rick Tocchet,2,23,23,14
2020020060,6,home,False,Bruce Cassidy,4,43,24,10
2020020060,4,away,False,Alain Vigneault,4,26,21,6
2020020061,2,home,True,Barry Trotz,4,35,21,2
2020020061,1,away,True,Lindy Ruff,1,31,24,6
2020020063,29,home,False,John Tortorella,2,25,19,7
2020020063,14,away,False,Jon Cooper,3,37,29,13
2020020064,9,home,False,D.J. Smith,1,29,51,27
2020020064,52,away,False,Paul Maurice,4,29,14,19
2020020065,23,home,False,Travis Green,3,17,24,26
2020020065,8,away,False,Claude Julien,7,42,17,12
2020020066,26,home,True,Todd McLellan,4,27,15,8
2020020066,21,away,True,Jared Bednar,2,26,14,10
2020020067,15,home,False,Peter Laviolette,3,32,24,6
2020020067,7,away,False,Ralph Krueger,3,27,20,4
2020020068,5,home,False,Mike Sullivan,3,28,30,8
2020020068,3,away,False,David Quinn,3,34,40,4
2020020070,10,home,True,Sheldon Keefe,4,29,26,4
2020020070,22,away,True,Dave Tippett,2,32,34,4
2020020069,16,home,True,Jeremy Colliton,4,28,24,10
2020020069,17,away,True,Jeff Blashill,1,31,31,10
2020020071,30,home,True,Dean Evason,4,29,8,8
2020020071,28,away,True,Bob Boughner,1,29,7,8
2020020072,25,home,True,Rick Bowness,7,28,21,10
2020020072,18,away,True,John Hynes,0,34,14,16
2020020073,53,home,True,Rick Tocchet,5,26,22,8
2020020073,54,away,True,Peter DeBoer,2,31,24,12
2020020074,24,home,False,Dallas Eakins,2,38,19,8
2020020074,21,away,False,Jared Bednar,3,32,20,10
2020020077,29,home,True,John Tortorella,5,28,24,6
2020020077,14,away,True,Jon Cooper,2,32,24,4
2020020075,6,home,True,Bruce Cassidy,6,26,26,4
2020020075,4,away,True,Alain Vigneault,1,17,24,8
2020020080,23,home,False,Travis Green,2,25,32,23
2020020080,8,away,False,Claude Julien,5,33,20,23
2020020078,19,home,True,Craig Berube,4,30,17,10
2020020078,26,away,True,Todd McLellan,2,23,10,4
2020020079,52,home,True,Paul Maurice,6,38,20,9
2020020079,9,away,True,D.J. Smith,3,21,29,11
2020020084,16,home,True,Jeremy Colliton,6,35,26,10
2020020084,17,away,True,Jeff Blashill,2,27,34,4
2020020082,15,home,False,Peter Laviolette,3,31,16,10
2020020082,7,away,False,Ralph Krueger,3,48,11,6
2020020087,20,home,False,Geoff Ward,2,33,13,8
2020020087,10,away,False,Sheldon Keefe,3,32,9,8
2020020090,53,home,False,Rick Tocchet,0,16,27,4
2020020090,54,away,False,Peter DeBoer,1,27,34,4
2020020081,1,home,True,Lindy Ruff,2,24,12,4
2020020081,2,away,True,Barry Trotz,0,28,16,4
2020020083,5,home,True,Mike Sullivan,3,19,33,4
2020020083,3,away,True,David Quinn,2,26,32,0
2020020085,19,home,False,Craig Berube,3,31,34,10
2020020085,26,away,False,Todd McLellan,6,35,17,6
2020020088,30,home,False,Dean Evason,3,29,12,12
2020020088,28,away,False,Bob Boughner,5,36,15,12
2020020089,25,home,True,Rick Bowness,3,22,18,8
2020020089,18,away,True,John Hynes,2,17,24,8
2020020091,24,home,True,Dallas Eakins,3,15,32,8
2020020091,21,away,True,Jared Bednar,1,33,22,6
2020020086,52,home,False,Paul Maurice,3,38,15,6
2020020086,22,away,False,Dave Tippett,4,38,20,4
2020020092,23,home,True,Travis Green,7,35,29,22
2020020092,9,away,True,D.J. Smith,1,36,23,16
2020020093,6,home,True,Bruce Cassidy,3,36,26,12
2020020093,5,away,True,Mike Sullivan,2,30,29,6
2020020094,7,home,True,Ralph Krueger,3,24,17,6
2020020094,3,away,True,David Quinn,2,30,24,8
2020020095,1,home,False,Lindy Ruff,3,26,10,10
2020020095,4,away,False,Alain Vigneault,5,31,10,2
2020020096,15,home,True,Peter Laviolette,3,37,14,6
2020020096,2,away,True,Barry Trotz,2,34,18,7
2020020098,29,home,False,John Tortorella,3,22,23,6
2020020098,13,away,False,Joel Quenneville,3,31,17,12
2020020099,18,home,True,John Hynes,3,39,12,4
2020020099,16,away,True,Jeremy Colliton,2,20,9,8
2020020100,52,home,True,Paul Maurice,6,33,20,4
2020020100,22,away,True,Dave Tippett,4,26,17,10
2020020102,30,home,False,Dean Evason,1,33,15,6
2020020102,26,away,False,Todd McLellan,2,21,8,6
2020020103,25,home,True,Rick Bowness,2,22,22,6
2020020103,17,away,True,Jeff Blashill,1,21,18,8
2020020101,20,home,False,Geoff Ward,3,26,17,4
2020020101,10,away,False,Sheldon Keefe,4,21,11,10
2020020104,21,home,True,Jared Bednar,7,42,12,20
2020020104,28,away,True,Bob Boughner,3,30,14,10
2020020105,53,home,False,Rick Tocchet,0,31,23,2
2020020105,24,away,False,Dallas Eakins,1,24,23,6
2020020106,54,home,False,Peter DeBoer,4,46,20,15
2020020106,19,away,False,Craig Berube,4,25,30,17
2020020107,18,home,False,John Hynes,1,42,18,8
2020020107,16,away,False,Jeremy Colliton,1,30,10,8
2020020108,23,home,True,Travis Green,5,35,16,8
2020020108,9,away,True,D.J. Smith,1,43,25,6
2020020109,6,home,True,Bruce Cassidy,4,20,20,6
2020020109,5,away,True,Mike Sullivan,1,17,26,4
2020020110,7,home,False,Ralph Krueger,2,25,16,8
2020020110,3,away,False,David Quinn,3,39,16,10
2020020111,1,home,False,Lindy Ruff,1,34,14,4
2020020111,4,away,False,Alain Vigneault,3,17,14,8
2020020112,15,home,True,Peter Laviolette,6,23,15,6
2020020112,2,away,True,Barry Trotz,3,30,19,16
2020020113,12,home,True,Rod Brind'Amour,1,35,25,6
2020020113,14,away,True,Jon Cooper,0,32,27,8
2020020114,29,home,False,John Tortorella,2,31,27,6
2020020114,13,away,False,Joel Quenneville,2,35,18,10
2020020115,8,home,True,Claude Julien,4,21,18,15
2020020115,20,away,True,Geoff Ward,2,25,26,13
2020020118,30,home,True,Dean Evason,5,28,10,32
2020020118,26,away,True,Todd McLellan,3,35,9,15
2020020119,25,home,True,Rick Bowness,7,29,14,14
2020020119,17,away,True,Jeff Blashill,3,23,8,6
2020020120,21,home,True,Jared Bednar,3,38,12,8
2020020120,28,away,True,Bob Boughner,0,21,15,8
2020020121,53,home,True,Rick Tocchet,3,34,26,6
2020020121,24,away,True,Dallas Eakins,2,16,18,12
2020020116,22,home,False,Dave Tippett,3,29,18,8
2020020116,10,away,False,Sheldon Keefe,4,27,24,14
2020020117,23,home,True,Travis Green,4,25,22,17
2020020117,9,away,True,D.J. Smith,1,37,36,15
2020020123,16,home,False,Jeremy Colliton,1,32,14,4
2020020123,29,away,False,John Tortorella,2,27,21,6
2020020124,7,home,False,Ralph Krueger,3,31,17,10
2020020124,1,away,False,Lindy Ruff,3,34,17,10
2020020125,3,home,False,David Quinn,4,34,25,8
2020020125,5,away,False,Mike Sullivan,5,38,22,10
2020020126,4,home,True,Alain Vigneault,3,17,24,8
2020020126,2,away,True,Barry Trotz,2,28,31,2
2020020127,15,home,True,Peter Laviolette,4,23,38,8
2020020127,6,away,True,Bruce Cassidy,3,43,15,2
2020020128,12,home,True,Rod Brind'Amour,4,26,26,12
2020020128,25,away,True,Rick Bowness,1,11,38,10
2020020129,14,home,True,Jon Cooper,4,33,21,30
2020020129,18,away,True,John Hynes,3,26,17,34
2020020130,17,home,False,Jeff Blashill,2,27,14,6
2020020130,13,away,False,Joel Quenneville,3,26,19,8
2020020131,8,home,False,Claude Julien,0,37,17,16
2020020131,20,away,False,Geoff Ward,2,33,23,14
2020020133,22,home,True,Dave Tippett,4,31,19,4
2020020133,10,away,True,Sheldon Keefe,3,29,17,4
2020020134,30,home,False,Dean Evason,1,20,21,14
2020020134,21,away,False,Jared Bednar,5,33,5,4
2020020135,24,home,False,Dallas Eakins,1,24,26,11
2020020135,19,away,False,Craig Berube,6,30,25,13
2020020132,52,home,False,Paul Maurice,1,24,10,10
2020020132,23,away,False,Travis Green,4,39,14,6
2020020136,7,home,False,Ralph Krueger,3,33,15,6
2020020136,1,away,False,Lindy Ruff,5,37,9,8
2020020138,12,home,False,Rod Brind'Amour,3,40,17,10
2020020138,25,away,False,Rick Bowness,3,29,31,10
2020020139,17,home,False,Jeff Blashill,2,34,11,10
2020020139,13,away,False,Joel Quenneville,3,30,16,8
2020020137,4,home,True,Alain Vigneault,4,29,15,12
2020020137,2,away,True,Barry Trotz,3,36,19,8
2020020140,16,home,True,Jeremy Colliton,3,36,30,6
2020020140,29,away,True,John Tortorella,1,33,39,6
2020020142,30,home,True,Dean Evason,4,33,14,8
2020020142,21,away,True,Jared Bednar,3,25,9,6
2020020143,24,home,False,Dallas Eakins,1,26,31,4
2020020143,19,away,False,Craig Berube,4,23,26,4
2020020141,22,home,True,Dave Tippett,8,31,14,10
2020020141,9,away,True,D.J. Smith,5,38,19,10
2020020144,3,home,True,David Quinn,3,24,26,17
2020020144,5,away,True,Mike Sullivan,1,26,25,13
2020020145,15,home,False,Peter Laviolette,3,26,17,13
2020020145,6,away,False,Bruce Cassidy,5,33,27,13
2020020146,14,home,True,Jon Cooper,5,28,18,6
2020020146,18,away,True,John Hynes,2,31,19,8
2020020147,8,home,True,Claude Julien,6,40,26,6
2020020147,23,away,True,Travis Green,2,29,30,6
2020020148,52,home,False,Paul Maurice,3,28,17,4
2020020148,20,away,False,Geoff Ward,3,28,15,8
2020020152,29,home,False,John Tortorella,3,26,12,6
2020020152,25,away,False,Rick Bowness,6,33,10,6
2020020155,8,home,True,Claude Julien,5,33,20,6
2020020155,23,away,True,Travis Green,3,39,26,8
2020020153,16,home,False,Jeremy Colliton,3,33,27,2
2020020153,12,away,False,Rod Brind'Amour,3,41,33,4
2020020154,19,home,True,Craig Berube,4,29,13,6
2020020154,53,away,True,Rick Tocchet,3,35,15,10
2020020156,52,home,True,Paul Maurice,3,28,16,8
2020020156,20,away,True,Geoff Ward,2,31,15,4
2020020158,21,home,True,Jared Bednar,2,31,17,11
2020020158,30,away,True,Dean Evason,1,28,23,11
2020020157,22,home,True,Dave Tippett,4,25,22,10
2020020157,9,away,True,D.J. Smith,2,25,31,4
2020020161,26,home,False,Todd McLellan,1,21,22,7
2020020161,24,away,False,Dallas Eakins,3,43,20,7
2020020160,14,home,True,Jon Cooper,5,27,18,8
2020020160,17,away,True,Jeff Blashill,1,16,15,8
2020020159,4,home,False,Alain Vigneault,3,25,26,8
2020020159,6,away,False,Bruce Cassidy,4,35,25,4
2020020164,3,home,True,David Quinn,4,31,20,17
2020020164,15,away,True,Peter Laviolette,2,33,17,13
2020020165,13,home,False,Joel Quenneville,5,36,21,8
2020020165,18,away,False,John Hynes,6,41,20,8
2020020167,29,home,True,John Tortorella,4,25,23,6
2020020167,25,away,True,Rick Bowness,3,28,14,6
2020020170,8,home,False,Claude Julien,2,38,42,15
2020020170,9,away,False,D.J. Smith,3,22,33,15
2020020171,10,home,True,Sheldon Keefe,7,37,15,11
2020020171,23,away,True,Travis Green,3,19,27,15
2020020168,16,home,True,Jeremy Colliton,6,35,23,8
2020020168,12,away,True,Rod Brind'Amour,4,34,21,10
2020020169,19,home,False,Craig Berube,3,43,23,4
2020020169,53,away,False,Rick Tocchet,4,30,18,8
2020020172,52,home,True,Paul Maurice,4,27,18,8
2020020172,20,away,True,Geoff Ward,1,24,15,6
2020020174,4,home,False,Alain Vigneault,1,24,22,11
2020020174,6,away,False,Bruce Cassidy,2,23,28,17
2020020175,14,home,True,Jon Cooper,3,32,23,4
2020020175,17,away,True,Jeff Blashill,1,28,20,6
2020020176,13,home,True,Joel Quenneville,2,36,40,4
2020020176,18,away,True,John Hynes,1,25,25,6
2020020177,54,home,True,Peter DeBoer,5,36,21,4
2020020177,26,away,True,Todd McLellan,2,29,30,8
2020020178,24,home,False,Dallas Eakins,4,37,17,6
2020020178,28,away,False,Bob Boughner,4,30,31,6
2020020183,9,home,False,D.J. Smith,1,35,26,6
2020020183,8,away,False,Claude Julien,2,32,25,12
2020020550,19,home,False,Craig Berube,1,25,21,19
2020020550,53,away,False,Rick Tocchet,3,19,17,13
2020020181,2,home,True,Barry Trotz,4,26,20,2
2020020181,5,away,True,Mike Sullivan,3,31,29,4
2020020184,10,home,True,Sheldon Keefe,5,31,16,8
2020020184,23,away,True,Travis Green,1,28,25,8
2020020185,20,home,True,Geoff Ward,6,28,20,12
2020020185,22,away,True,Dave Tippett,4,32,12,8
2020020187,24,home,False,Dallas Eakins,1,33,31,6
2020020187,28,away,False,Bob Boughner,1,27,31,10
2020020188,15,home,False,Peter Laviolette,4,37,21,8
2020020188,4,away,False,Alain Vigneault,7,23,11,2
2020020189,13,home,False,Joel Quenneville,1,37,25,9
2020020189,17,away,False,Jeff Blashill,4,39,24,11
2020020190,29,home,False,John Tortorella,5,22,24,9
2020020190,12,away,False,Rod Brind'Amour,6,26,23,15
2020020193,25,home,False,Rick Bowness,1,31,13,13
2020020193,16,away,False,Jeremy Colliton,2,35,17,11
2020020194,54,home,True,Peter DeBoer,4,33,26,8
2020020194,26,away,True,Todd McLellan,3,32,27,4
2020020196,3,home,False,David Quinn,0,30,25,2
2020020196,2,away,False,Barry Trotz,2,30,25,6
2020020197,29,home,True,John Tortorella,3,22,19,2
2020020197,12,away,True,Rod Brind'Amour,2,24,21,2
2020020199,9,home,False,D.J. Smith,1,28,17,18
2020020199,22,away,False,Dave Tippett,3,35,23,14
2020020200,10,home,True,Sheldon Keefe,3,19,21,8
2020020200,23,away,True,Travis Green,1,32,31,4
2020020198,18,home,False,John Hynes,1,24,14,13
2020020198,14,away,False,Jon Cooper,4,35,10,15
2020020565,19,home,False,Craig Berube,3,43,21,15
2020020565,53,away,False,Rick Tocchet,3,26,22,15
2020020203,13,home,True,Joel Quenneville,2,22,35,6
2020020203,17,away,True,Jeff Blashill,1,32,28,2
2020020205,9,home,False,D.J. Smith,2,42,27,2
2020020205,22,away,False,Dave Tippett,3,22,28,4
2020020204,18,home,False,John Hynes,1,33,20,22
2020020204,14,away,False,Jon Cooper,6,30,24,10
2020020208,25,home,False,Rick Bowness,1,35,25,8
2020020208,16,away,False,Jeremy Colliton,2,29,11,4
2020020206,20,home,True,Geoff Ward,3,29,17,4
2020020206,52,away,True,Paul Maurice,2,27,15,4
2020020210,54,home,True,Peter DeBoer,5,31,27,9
2020020210,24,away,True,Dallas Eakins,4,23,17,7
2020020211,26,home,False,Todd McLellan,3,27,26,4
2020020211,28,away,False,Bob Boughner,3,40,20,8
2020020212,3,home,False,David Quinn,2,35,29,11
2020020212,6,away,False,Bruce Cassidy,3,32,21,11
2020020213,8,home,False,Claude Julien,2,35,19,8
2020020213,10,away,False,Sheldon Keefe,4,24,19,8
2020020215,2,home,False,Barry Trotz,3,29,23,2
2020020215,5,away,False,Mike Sullivan,3,35,29,2
2020020217,13,home,True,Joel Quenneville,5,29,44,13
2020020217,14,away,True,Jon Cooper,2,21,39,13
2020020218,16,home,False,Jeremy Colliton,5,26,32,6
2020020218,29,away,False,John Tortorella,6,43,37,4
2020020219,18,home,True,John Hynes,3,23,15,8
2020020219,17,away,True,Jeff Blashill,2,26,12,8
