,game_id,player_id,team_id,time_on_ice,pim,even_strength_shots_against,saves_shots_against,power_play_shots_against,goals_against
0,2021040661,8477967,90,09:33,,10/12,10/12,0/0,2
1,2021040661,8476434,90,10:00,,10/13,10/13,0/0,3
2,2021040661,8475883,88,10:00,,6/7,6/7,0/0,1
3,2021040661,8477465,88,10:00,,5/8,5/8,0/0,3
4,2021040662,8475660,89,10:00,,7/9,7/9,0/0,2
5,2021040662,8477424,89,10:00,,6/9,6/9,0/0,3
6,2021040662,8475789,87,09:10,,6/10,6/10,0/0,4
7,2021040662,8476883,87,10:00,,9/12,9/12,0/0,3
8,2021040663,8475883,88,10:00,,7/9,7/9,0/0,2
9,2021040663,8477465,88,10:00,,14/15,14/15,0/0,1
10,2021040663,8475660,89,10:00,,9/13,9/13,0/0,4
11,2021040663,8477424,89,08:00,,4/5,4/5,0/0,1
12,2021010001,8474636,10,55:37,,11/12,13/14,2/2,1
13,2021010001,8479993,10,04:23,,3/3,3/3,0/0,0
14,2021010001,8480051,8,33:38,,13/15,18/21,5/6,3
15,2021010001,8478933,8,26:22,,8/9,10/11,2/2,1
16,2021010002,8478024,19,20:00,,8/8,10/10,2/2,0
17,2021010002,8479292,19,39:53,,19/21,19/21,0/0,2
18,2021010002,8478039,30,30:25,,5/7,6/8,1/1,2
19,2021010002,8477202,30,28:04,,18/21,18/21,0/0,3
20,2021010003,8478470,13,40:00,,12/13,17/19,5/5,2
21,2021010003,8479399,13,20:46,,9/10,9/11,0/1,2
22,2021010003,8482445,18,20:35,,6/9,11/15,4/5,4
23,2021010003,8478971,18,40:00,,15/16,20/21,5/5,1
24,2021010004,8477831,15,39:39,,11/13,12/14,1/1,2
25,2021010004,8477970,15,25:00,,7/7,9/9,1/1,0
26,2021010004,8480280,6,30:11,,11/12,18/19,6/6,1
27,2021010004,8477234,6,34:49,,8/9,11/12,2/2,1
28,2021010005,8481519,13,59:41,,22/23,29/30,6/6,1
29,2021010005,8476444,13,,,0/0,0/0,0/0,0
30,2021010005,8479496,18,58:00,,24/25,27/30,1/3,3
31,2021010005,8480233,18,,,0/0,0/0,0/0,0
32,2021010006,8478903,3,27:16,,6/7,7/8,0/0,1
33,2021010006,8480382,3,32:44,,9/11,12/15,3/4,3
34,2021010006,8480819,2,27:16,,11/11,15/15,4/4,0
35,2021010006,8478009,2,32:44,,11/11,13/13,1/1,0
36,2021010007,8477480,52,60:23,,15/18,24/27,8/8,3
37,2021010007,8479574,52,,,0/0,0/0,0/0,0
38,2021010007,8476341,9,30:31,,10/11,17/19,3/4,2
39,2021010007,8479406,9,29:54,,11/11,14/14,3/3,0
40,2021010008,8480843,24,29:55,,7/7,13/14,6/7,1
41,2021010008,8480042,24,30:05,,8/10,11/13,3/3,2
42,2021010008,8482246,28,29:49,,4/6,8/10,2/2,2
43,2021010008,8479313,28,30:02,,13/15,14/17,1/2,3
44,2021010009,8479530,20,29:58,,19/21,24/26,5/5,2
45,2021010009,8478435,20,30:02,,10/11,21/23,11/12,2
46,2021010009,8481709,22,29:58,,6/6,7/7,1/1,0
47,2021010009,8479973,22,30:02,,6/6,8/8,2/2,0
48,2021010010,8475831,55,31:01,,0/0,5/7,0/0,2
49,2021010010,8476904,55,28:59,,0/0,7/8,0/0,1
50,2021010010,8477484,23,20:00,,0/0,9/11,0/0,2
