,game_id,team_id,HoA,won,settled_in,head_coach,goals,shots,hits,pim,blocks,faceoffWinningPctg,powerPlayConversion
0,2020020224,25,home,False,REG,Rick Bowness,3,37,39,6,11,46.6,1/5
1,2020020224,12,away,True,REG,Rod Brind'Amour,5,32,19,10,17,53.4,1/3
2,2020020225,21,home,True,REG,Jared Bednar,4,20,14,12,12,50.8,1/4
3,2020020225,53,away,False,REG,Rick Tocchet,2,37,28,12,19,49.2,1/4
4,2020020226,54,home,False,REG,Peter DeBoer,0,21,26,14,12,44.4,0/2
5,2020020226,24,away,True,REG,Dallas Eakins,1,28,39,4,25,55.6,0/2
6,2020020227,26,home,True,REG,Todd McLellan,6,31,15,6,9,39.6,3/6
7,2020020227,28,away,False,REG,Bob Boughner,2,31,23,14,5,60.4,1/2
8,2020020228,3,home,False,REG,David Quinn,0,21,31,22,12,45.6,0/6
9,2020020228,6,away,True,REG,Bruce Cassidy,1,30,23,36,18,54.4,0/4
10,2020020229,7,home,False,REG,Don Granato,3,33,16,2,12,60.3,0/3
11,2020020229,15,away,True,REG,Peter Laviolette,4,33,21,6,14,39.7,0/1
12,2020020230,2,home,True,REG,Barry Trotz,4,42,36,4,13,36.5,1/1
13,2020020230,6,away,False,REG,Bruce Cassidy,2,30,27,2,12,63.5,0/2
14,2020020231,4,home,True,REG,Alain Vigneault,4,31,19,4,14,52.3,1/4
15,2020020231,1,away,False,REG,Lindy Ruff,2,25,9,8,20,47.7,0/2
16,2020020232,13,home,False,REG,Joel Quenneville,1,34,36,17,8,48.2,0/4
17,2020020232,14,away,True,REG,Jon Cooper,6,28,25,19,12,51.8,1/3
18,2020020233,16,home,True,OT,Jeremy Colliton,3,31,27,7,8,64.7,0/2
19,2020020233,29,away,False,OT,John Tortorella,2,31,28,9,18,35.3,0/1
20,2020020234,18,home,False,REG,John Hynes,2,23,19,8,14,41.5,0/2
21,2020020234,17,away,True,REG,Jeff Blashill,4,30,13,4,12,58.5,0/4
22,2020020235,10,home,False,REG,Sheldon Keefe,1,22,16,0,21,51.4,0/1
23,2020020235,8,away,True,REG,Claude Julien,2,25,46,2,4,48.6,0/0
24,2020020236,52,home,False,REG,Paul Maurice,1,31,21,2,11,50.0,0/1
25,2020020236,9,away,True,REG,D.J. Smith,2,29,17,2,23,50.0,0/1
26,2020020237,23,home,True,REG,Travis Green,3,46,19,6,12,54.7,0/1
27,2020020237,20,away,False,REG,Geoff Ward,1,19,20,2,19,45.3,0/3
28,2020020238,25,home,False,OT,Rick Bowness,3,29,13,8,12,47.7,1/3
29,2020020238,12,away,True,OT,Rod Brind'Amour,4,21,17,6,20,52.3,1/4
30,2020020239,53,home,False,OT,Rick Tocchet,4,36,40,4,20,48.3,0/2
31,2020020239,19,away,True,OT,Craig Berube,5,35,18,4,6,51.7,0/2
32,2020020240,26,home,False,REG,Todd McLellan,2,42,22,4,16,60.4,0/3
33,2020020240,30,away,True,REG,Dean Evason,4,24,24,6,16,39.6,1/2
34,2020020241,28,home,False,REG,Bob Boughner,1,35,17,7,14,49.1,1/4
35,2020020241,24,away,True,REG,Dallas Eakins,5,34,20,13,12,50.9,1/1
36,2020020242,5,home,True,REG,Mike Sullivan,6,38,26,8,17,61.7,1/2
37,2020020242,15,away,False,REG,Peter Laviolette,3,31,30,4,8,38.3,1/4
38,2020020243,54,home,True,REG,Peter DeBoer,1,24,34,2,16,44.2,0/3
39,2020020243,21,away,False,REG,Jared Bednar,0,30,33,6,19,55.8,0/1
40,2020020244,6,home,False,REG,Bruce Cassidy,0,40,22,6,12,54.0,0/2
41,2020020244,1,away,True,REG,Lindy Ruff,1,25,19,4,13,46.0,0/3
42,2020020245,7,home,False,REG,Ralph Krueger,1,21,15,4,12,46.2,1/2
43,2020020245,2,away,True,REG,Barry Trotz,3,29,17,4,14,53.8,1/2
44,2020020246,17,home,False,OT,Jeff Blashill,2,29,11,6,11,55.6,0/2
45,2020020246,16,away,True,OT,Jeremy Colliton,3,24,10,4,9,44.4,0/3
46,2020020247,10,home,False,OT,Sheldon Keefe,5,38,21,11,17,49.2,1/2
47,2020020247,9,away,True,OT,D.J. Smith,6,31,25,9,10,50.8,0/3
48,2020020248,22,home,False,REG,Dave Tippett,5,45,37,9,14,50.0,1/2
49,2020020248,52,away,True,REG,Paul Maurice,6,24,17,9,15,50.0,1/2
50,2020020249,23,home,False,OT,Travis Green,3,33,15,10,16,61.0,2/6
51,2020020249,20,away,True,OT,Geoff Ward,4,27,20,14,13,39.0,1/4
52,2020020250,25,home,False,OT,Rick Bowness,3,38,18,17,13,50.0,1/3
53,2020020250,18,away,True,OT,John Hynes,4,20,18,13,17,50.0,2/5
54,2020020251,53,home,True,REG,Rick Tocchet,1,19,30,4,15,48.9,0/4
55,2020020251,19,away,False,REG,Craig Berube,0,24,16,8,8,51.1,0/2
56,2020020252,28,home,True,REG,Bob Boughner,3,29,18,2,16,55.0,1/2
57,2020020252,24,away,False,REG,Dallas Eakins,2,28,15,4,13,45.0,0/1
58,2020020253,7,home,False,REG,Ralph Krueger,0,20,22,4,11,47.8,0/2
59,2020020253,2,away,True,REG,Barry Trotz,3,24,12,4,19,52.2,0/2
60,2020020254,3,home,False,REG,David Quinn,2,35,12,12,14,48.5,0/3
61,2020020254,4,away,True,REG,Alain Vigneault,3,36,19,6,10,51.5,2/6
62,2020020255,12,home,True,REG,Rod Brind'Amour,7,34,21,6,11,57.1,2/2
63,2020020255,29,away,False,REG,John Tortorella,3,40,28,4,10,42.9,0/3
64,2020020256,14,home,False,REG,Jon Cooper,4,31,26,16,7,54.7,0/4
65,2020020256,13,away,True,REG,Joel Quenneville,6,21,15,18,9,45.3,0/3
66,2020020257,5,home,False,REG,Mike Sullivan,1,27,31,10,10,50.0,0/3
67,2020020257,15,away,True,REG,Peter Laviolette,3,42,26,6,10,50.0,0/5
68,2020020258,25,home,False,OT,Rick Bowness,3,30,20,4,11,49.3,0/2
69,2020020258,18,away,True,OT,John Hynes,4,22,21,4,12,50.7,1/2
70,2020020259,54,home,False,REG,Peter DeBoer,2,29,17,11,21,50.9,1/2
71,2020020259,21,away,True,REG,Jared Bednar,3,25,10,9,22,49.1,0/3
72,2020020260,26,home,True,REG,Todd McLellan,4,29,15,6,12,55.0,1/3
73,2020020260,30,away,False,REG,Dean Evason,0,28,36,6,12,45.0,0/3
74,2020020261,17,home,False,REG,Jeff Blashill,0,29,26,8,9,68.1,0/3
75,2020020261,16,away,True,REG,Jeremy Colliton,2,26,16,8,9,31.9,1/3
76,2020020262,10,home,True,REG,Sheldon Keefe,2,28,13,6,14,51.9,0/3
77,2020020262,9,away,False,REG,D.J. Smith,1,28,30,6,5,48.1,0/3
78,2020020263,20,home,False,REG,Geoff Ward,1,36,20,2,8,35.4,0/2
79,2020020263,23,away,True,REG,Travis Green,5,33,14,4,13,64.6,0/1
80,2020020264,22,home,True,REG,Dave Tippett,3,30,26,20,23,55.2,1/6
81,2020020264,52,away,False,REG,Paul Maurice,2,35,21,12,13,44.8,1/5
82,2020020265,6,home,False,REG,Bruce Cassidy,2,27,21,12,16,60.7,2/3
83,2020020265,1,away,True,REG,Lindy Ruff,3,26,24,10,13,39.3,0/4
84,2020020266,4,home,False,OT,Alain Vigneault,2,22,21,10,17,45.2,0/5
85,2020020266,3,away,True,OT,David Quinn,3,33,20,10,27,54.8,1/5
