,game_id,team_id,HoA,won,settled_in,head_coach,goals,shots,hits,pim,blocks,faceoffWinningPctg,powerPlayConversion
61,2021010028,22,away,False,REG,Dave Tippett,1,18.0,15,4,17,46.7,0/2
62,2021010029,16,home,False,OT,Jeremy Colliton,3,39.0,34,2,12,49.3,0/5
63,2021010029,17,away,True,OT,Jeff Blashill,4,33.0,29,10,16,50.7,0/1
64,2021010030,20,home,False,OT,Darryl Sutter,3,22.0,21,6,13,55.0,0/4
65,2021010030,55,away,True,OT,Dave Hakstol,4,21.0,13,10,16,45.0,0/2
66,2021010031,24,home,False,REG,Dallas Eakins,1,30.0,33,10,10,49.0,0/8
67,2021010031,53,away,True,REG,André Tourigny,4,25.0,32,30,11,51.0,1/3
68,2021010032,14,home,False,REG,Jon Cooper,2,24.0,31,11,4,63.5,1/7
69,2021010032,18,away,True,REG,John Hynes,6,31.0,21,21,8,36.5,0/2
70,2021010033,6,home,True,REG,Bruce Cassidy,4,24.0,26,12,5,56.8,2/5
71,2021010033,4,away,False,REG,Alain Vigneault,2,18.0,15,10,15,43.2,2/6
72,2021010034,17,home,True,REG,Jeff Blashill,6,32.0,19,16,9,56.9,0/4
73,2021010034,7,away,False,REG,Don Granato,2,32.0,20,10,11,43.1,1/2
74,2021010035,21,home,True,REG,Jared Bednar,6,33.0,26,41,7,58.6,0/3
75,2021010035,30,away,False,REG,Dean Evason,4,35.0,20,25,7,41.4,2/6
76,2021010036,26,home,True,REG,Todd McLellan,3,,0,8,0,0.0,1/4
77,2021010036,54,away,False,REG,Peter DeBoer,1,,0,8,0,0.0,0/4
78,2021010037,24,home,False,REG,Dallas Eakins,1,25.0,22,21,13,54.9,0/3
79,2021010037,28,away,True,REG,Bob Boughner,3,32.0,24,19,7,45.1,1/4
80,2021010038,7,home,False,REG,Don Granato,1,32.0,9,9,8,50.0,1/2
81,2021010038,5,away,True,REG,Mike Sullivan,2,26.0,7,9,14,50.0,0/2
82,2021010039,1,home,True,REG,Lindy Ruff,7,34.0,14,10,6,52.6,2/4
83,2021010039,3,away,False,REG,Gerard Gallant,1,25.0,23,8,9,47.4,1/5
84,2021010040,13,home,True,REG,Joel Quenneville,6,36.0,25,4,13,50.7,0/1
85,2021010040,25,away,False,REG,Rick Bowness,3,28.0,35,2,13,49.3,1/2
86,2021010041,14,home,True,REG,Jon Cooper,8,26.0,27,8,11,51.5,1/3
87,2021010041,12,away,False,REG,Rod Brind'Amour,5,44.0,18,6,12,48.5,0/4
88,2021010042,9,home,True,REG,D.J. Smith,7,34.0,36,12,10,51.9,1/2
89,2021010042,8,away,False,REG,Dominique Ducharme,2,27.0,33,6,11,48.1,1/5
90,2021010043,16,home,False,REG,Jeremy Colliton,3,27.0,32,16,12,63.0,1/3
91,2021010043,19,away,True,REG,Craig Berube,6,40.0,34,16,13,37.0,1/3
92,2021010044,20,home,True,REG,Darryl Sutter,4,31.0,11,23,4,44.1,1/6
93,2021010044,23,away,False,REG,Travis Green,1,22.0,22,17,13,55.9,0/4
94,2021010045,54,home,True,REG,Peter DeBoer,4,28.0,27,6,18,54.5,1/2
95,2021010045,26,away,False,REG,Todd McLellan,0,38.0,17,4,9,45.5,0/3
96,2021010046,55,home,True,OT,Dave Hakstol,2,,0,11,0,0.0,1/3
97,2021010046,22,away,False,OT,Dave Tippett,1,,0,11,0,0.0,0/3
98,2021010047,53,home,True,REG,André Tourigny,4,31.0,40,6,11,58.8,0/2
99,2021010047,24,away,False,REG,Dallas Eakins,3,27.0,22,4,14,41.2,2/3
100,2021010048,8,home,True,REG,Dominique Ducharme,2,23.0,24,13,11,54.3,1/4
101,2021010048,9,away,False,REG,D.J. Smith,1,20.0,37,23,17,45.7,0/4
102,2021010049,4,home,True,REG,Alain Vigneault,3,31.0,23,8,11,63.8,1/3
103,2021010049,15,away,False,REG,Peter Laviolette,1,22.0,19,8,12,36.2,1/3
104,2021010050,22,home,True,REG,Dave Tippett,4,27.0,17,6,13,63.5,1/3
105,2021010050,52,away,False,REG,Paul Maurice,3,34.0,24,8,10,36.5,0/1
106,2021010051,6,home,False,OT,Bruce Cassidy,3,36.0,18,4,7,58.5,1/4
107,2021010051,3,away,True,OT,Gerard Gallant,4,19.0,34,8,12,41.5,1/2
108,2021010052,17,home,True,REG,Jeff Blashill,5,23.0,17,8,14,48.0,3/5
109,2021010052,29,away,False,REG,Brad Larsen,1,20.0,19,12,7,52.0,0/3
110,2021010053,2,home,False,OT,Barry Trotz,1,,0,12,0,0.0,0/3
111,2021010053,1,away,True,OT,Lindy Ruff,2,,0,8,0,0.0,0/5
112,2021010054,18,home,True,REG,John Hynes,6,27.0,18,14,13,45.6,2/5
113,2021010054,14,away,False,REG,Jon Cooper,1,17.0,16,10,19,54.4,0/7
114,2021010055,19,home,False,REG,Craig Berube,1,,0,10,0,0.0,0/3
115,2021010055,16,away,True,REG,Jeremy Colliton,5,,0,6,0,0.0,0/5
116,2021010056,55,home,False,REG,Dave Hakstol,1,,0,13,0,0.0,1/6
117,2021010056,20,away,True,REG,Darryl Sutter,4,,0,17,0,0.0,1/4
118,2021010057,5,home,True,REG,Mike Sullivan,5,32.0,21,13,11,50.0,1/3
119,2021010057,17,away,False,REG,Jeff Blashill,1,26.0,30,11,8,50.0,1/4
120,2021010058,23,home,True,REG,Travis Green,3,33.0,21,10,8,49.0,0/6
121,2021010058,52,away,False,REG,Paul Maurice,2,18.0,25,26,15,51.0,0/3
122,2021010059,4,home,True,OT,Alain Vigneault,2,36.0,24,9,11,51.0,1/5
123,2021010059,6,away,False,OT,Bruce Cassidy,1,25.0,32,15,18,49.0,1/2
124,2021010060,7,home,False,REG,Don Granato,3,28.0,4,6,8,43.4,0/1
125,2021010060,29,away,True,REG,Brad Larsen,5,30.0,8,2,7,56.6,2/3
126,2021010061,1,home,True,REG,Lindy Ruff,4,26.0,16,6,5,60.4,2/5
127,2021010061,15,away,False,REG,Peter Laviolette,1,21.0,17,10,15,39.6,1/3
128,2021010062,9,home,False,REG,D.J. Smith,1,27.0,38,10,8,55.6,0/5
129,2021010062,10,away,True,REG,Sheldon Keefe,3,27.0,24,12,12,44.4,1/4
130,2021010063,17,home,False,REG,Jeff Blashill,4,40.0,16,6,9,42.9,4/5
131,2021010063,16,away,True,REG,Jeremy Colliton,6,34.0,12,10,11,57.1,1/3
132,2021010064,30,home,True,REG,Dean Evason,3,32.0,18,6,17,40.8,0/2
133,2021010064,21,away,False,REG,Jared Bednar,1,16.0,23,4,12,59.2,0/3
134,2021010065,22,home,True,REG,Dave Tippett,4,35.0,17,2,13,53.3,2/3
135,2021010065,20,away,False,REG,Darryl Sutter,3,29.0,26,6,14,46.7,0/1
136,2021010066,28,home,False,OT,Bob Boughner,2,44.0,27,24,8,66.2,1/4
137,2021010066,24,away,True,OT,Dallas Eakins,3,25.0,27,24,16,33.8,1/4
138,2021010067,10,home,True,REG,Sheldon Keefe,6,44.0,23,15,6,42.6,2/4
139,2021010067,8,away,False,REG,Dominique Ducharme,2,22.0,26,13,7,57.4,1/5
140,2021010068,5,home,True,OT,Mike Sullivan,5,40.0,19,4,9,53.7,0/2
141,2021010068,7,away,False,OT,Don Granato,4,27.0,19,4,11,46.3,1/2
142,2021010069,12,home,False,OT,Rod Brind'Amour,2,42.0,25,4,7,45.3,0/3
143,2021010069,18,away,True,OT,John Hynes,3,34.0,31,6,16,54.7,1/2
144,2021010070,2,home,True,REG,Barry Trotz,3,,0,6,0,0.0,2/4
145,2021010070,4,away,False,REG,Alain Vigneault,0,,0,8,0,0.0,0/3
146,2021010071,14,home,False,REG,Jon Cooper,2,,0,47,0,0.0,1/5
147,2021010071,13,away,True,REG,Joel Quenneville,3,,0,49,0,0.0,0/4
148,2021010072,25,home,True,REG,Rick Bowness,3,29.0,12,8,12,42.6,0/3
149,2021010072,19,away,False,REG,Craig Berube,1,28.0,13,6,11,57.4,0/4
150,2021010073,21,home,False,REG,Jared Bednar,4,38.0,23,10,8,41.5,3/4
151,2021010073,54,away,True,REG,Peter DeBoer,7,38.0,15,8,6,58.5,1/5
152,2021010074,23,home,False,REG,Travis Green,0,38.0,33,16,14,40.7,0/4
153,2021010074,55,away,True,REG,Dave Hakstol,4,25.0,19,10,14,59.3,2/7
