,game_id,player_id,team_id,time_on_ice,pim,even_strength_shots_against,saves_shots_against,power_play_shots_against,goals_against
2495,2022020915,8475852,16,63:43,0.0,33/35,34/36,1/1,2
2496,2022020915,8476316,54,65:00,0.0,32/33,37/39,4/5,2
2497,2022020916,8479973,22,59:38,0.0,17/19,24/26,5/5,2
2498,2022020916,8479394,4,57:11,0.0,19/20,23/26,4/6,3
2499,2022020917,8478009,2,60:00,0.0,19/19,25/26,5/6,1
2500,2022020917,8476945,52,57:52,0.0,16/18,20/22,4/4,2
2501,2022020918,8479979,25,57:42,0.0,18/21,19/23,0/1,4
2502,2022020918,8483530,16,60:00,0.0,27/29,29/32,2/3,3
2503,2022020919,8478872,53,60:00,0.0,38/41,45/51,6/9,6
2504,2022020919,8478435,20,59:31,0.0,11/12,12/14,1/2,3
2505,2022020920,8479292,15,57:57,0.0,13/16,17/20,4/4,3
2506,2022020920,8476434,24,60:00,0.0,33/34,41/43,7/8,2
2507,2022020921,8476883,14,61:41,0.0,15/19,17/23,2/3,6
2508,2022020921,8477480,7,61:41,0.0,29/33,36/41,7/8,5
2509,2022020922,8479193,5,20:00,0.0,12/13,14/15,0/0,1
2510,2022020922,8477465,5,39:50,0.0,20/24,23/29,2/4,6
2511,2022020922,8479973,22,60:00,0.0,19/20,22/24,3/4,2
2512,2022020923,8477970,1,61:54,0.0,17/20,19/22,2/2,3
2513,2022020923,8477831,26,62:30,0.0,23/27,28/32,4/4,4
2514,2022020924,8476914,29,57:01,0.0,23/25,23/25,0/0,2
2515,2022020924,8470594,30,60:00,0.0,26/26,30/30,3/3,0
2516,2022020925,8478024,17,60:00,0.0,23/24,30/31,5/5,1
2517,2022020925,8470860,3,60:00,0.0,15/18,19/23,3/4,4
2518,2022020926,8476412,19,64:45,0.0,32/34,38/41,6/6,3
2519,2022020926,8481668,23,63:20,0.0,13/14,20/22,5/5,2
2520,2022020927,8475831,55,58:32,0.0,26/31,27/33,1/1,6
2521,2022020927,8480280,6,60:00,0.0,31/35,36/41,5/6,5
2522,2022020928,8476316,54,60:42,0.0,16/18,25/28,8/9,3
2523,2022020928,8478435,20,59:46,0.0,22/25,25/29,2/3,4
2524,2022020929,8473503,28,59:23,0.0,20/23,25/31,2/4,6
2525,2022020929,8477424,18,60:00,0.0,18/19,22/24,3/3,2
2526,2022020930,8475683,13,56:59,0.0,25/27,30/33,5/6,3
2527,2022020930,8467950,7,60:00,0.0,42/43,49/50,6/6,1
2528,2022020931,8478492,10,61:03,0.0,20/21,24/25,3/3,1
2529,2022020931,8479406,30,60:44,0.0,19/21,22/24,3/3,2
2530,2022020932,8479394,4,60:00,0.0,21/25,26/31,5/6,5
2531,2022020932,8474596,8,60:00,0.0,24/26,24/26,0/0,2
2532,2022020933,8477293,12,60:00,0.0,23/23,32/32,9/9,0
2533,2022020933,8475660,9,59:01,0.0,24/27,26/29,0/0,3
2534,2022020934,8478009,2,58:38,0.0,24/26,26/28,2/2,3
2535,2022020934,8471734,26,60:00,0.0,14/15,16/18,2/3,2
2536,2022020935,8479496,52,20:00,0.0,6/6,10/10,2/2,0
2537,2022020935,8476945,52,40:00,0.0,17/22,21/26,3/3,5
2538,2022020935,8480382,21,60:00,0.0,24/24,26/27,2/3,1
2539,2022020936,8476914,29,59:33,0.0,37/40,42/47,5/6,5
2540,2022020936,8475789,22,25:56,0.0,7/10,10/14,3/4,4
2541,2022020936,8479973,22,32:12,0.0,8/10,10/12,2/2,2
2542,2022020937,8475311,15,60:00,0.0,20/22,23/26,2/3,3
2543,2022020937,8478048,3,40:00,0.0,15/19,17/22,2/3,5
2544,2022020937,8470860,3,19:57,0.0,4/5,4/5,0/0,1
2545,2022020938,8475883,12,58:16,0.0,10/13,13/16,3/3,3
2546,2022020938,8476434,24,60:00,0.0,42/44,51/53,8/8,2
2547,2022020939,8481668,23,59:27,0.0,25/26,32/34,6/7,2
2548,2022020939,8476999,6,60:00,0.0,22/23,26/27,4/4,1
2549,2022020940,8478470,8,59:48,0.0,16/21,17/22,0/0,5
2550,2022020940,8481544,9,60:00,0.0,25/27,30/32,4/4,2
2551,2022020941,8481033,1,60:00,0.0,22/22,23/23,1/1,0
2552,2022020941,8481035,4,60:00,0.0,27/34,29/36,2/2,7
2553,2022020942,8478024,17,58:56,0.0,12/14,15/17,0/0,2
2554,2022020942,8476883,14,59:54,0.0,37/37,45/45,6/6,0
2555,2022020943,8476412,19,61:16,0.0,38/41,45/48,6/6,3
2556,2022020943,8477465,5,61:16,0.0,20/22,25/27,4/4,2
2557,2022020944,8480382,21,60:00,0.0,24/24,28/29,2/3,1
2558,2022020944,8474593,20,59:38,0.0,18/21,18/22,0/1,4
2559,2022020945,8476316,54,65:00,0.0,33/35,41/43,8/8,2
2560,2022020945,8479979,25,63:23,0.0,31/33,41/43,9/9,2
2561,2022020946,8478039,28,64:51,0.0,24/27,32/35,7/7,3
2562,2022020946,8475852,16,65:00,0.0,42/45,45/48,2/2,3
2563,2022020947,8480045,7,60:00,0.0,23/26,26/30,1/2,4
2564,2022020947,8475311,15,30:07,0.0,14/19,14/19,0/0,5
2565,2022020947,8479292,15,29:53,0.0,12/14,16/18,4/4,2
2566,2022020948,8470594,30,64:40,0.0,21/23,22/24,1/1,2
2567,2022020948,8478007,29,64:40,0.0,35/37,41/44,4/5,3
2568,2022020949,8479496,52,57:09,0.0,19/21,20/23,1/1,3
2569,2022020949,8473575,2,60:00,0.0,18/18,23/23,5/5,0
2570,2022020950,8478048,3,60:00,0.0,22/23,26/28,4/5,2
2571,2022020950,8477831,26,36:23,0.0,10/11,12/14,2/3,2
2572,2022020950,8471734,26,23:37,0.0,4/7,4/7,0/0,3
2573,2022020951,8479193,5,60:00,0.0,24/26,26/29,2/3,3
2574,2022020951,8470880,14,60:00,0.0,26/32,29/36,2/3,7
2575,2022020952,8478971,53,60:00,0.0,24/28,28/34,4/6,6
2576,2022020952,8477424,18,60:00,0.0,22/23,25/27,3/3,2
2577,2022020953,8474889,55,35:32,0.0,11/12,11/12,0/0,1
2578,2022020953,8475831,55,24:13,0.0,12/16,17/21,5/5,4
2579,2022020953,8478492,10,60:00,0.0,20/21,26/27,6/6,1
2580,2022020954,8479973,22,59:48,0.0,17/20,25/28,8/8,3
2581,2022020954,8480280,6,59:44,0.0,21/23,22/24,0/0,2
2582,2022020955,8479979,25,60:48,0.0,11/15,16/21,4/5,5
2583,2022020955,8477967,23,60:48,0.0,21/23,34/38,12/13,4
2584,2022020956,8480382,21,60:00,0.0,30/30,31/31,1/1,0
2585,2022020956,8478499,54,59:43,0.0,29/31,31/33,2/2,2
2586,2022020957,8480843,24,59:50,0.0,21/21,24/26,3/5,2
2587,2022020957,8475852,16,58:34,0.0,19/22,29/33,8/9,4
2588,2022020958,8467950,7,59:41,0.0,28/31,31/35,3/4,4
2589,2022020958,8478007,29,60:00,0.0,31/33,38/41,6/7,3
