,game_id,team_id,HoA,won,settled_in,head_coach,goals,shots,hits,pim,blocks,faceoffWinningPctg,powerPlayConversion
0,2022040671,89,home,True,OT,Peter DeBoer,6,14.0,0,0,1,42.9,0/0
1,2022040671,90,away,False,OT,Bruce Cassidy,4,22.0,0,0,0,57.1,0/0
2,2022040672,87,home,True,OT,Jim Montgomery,10,23.0,0,0,0,40.0,0/0
3,2022040672,88,away,False,OT,Rod Brind'Amour,6,20.0,0,0,3,60.0,0/0
4,2022040673,87,home,True,OT,Jim Montgomery,7,25.0,0,0,1,57.9,0/0
5,2022040673,89,away,False,OT,Peter DeBoer,5,22.0,0,0,1,42.1,0/0
6,2022021109,30,home,True,REG,Dean Evason,5,40.0,13,22,11,43.3,0/3
7,2022021109,15,away,False,REG,Peter Laviolette,3,36.0,28,40,9,56.7,2/4
8,2021020579,16,home,False,REG,Derek King,1,31.0,21,6,16,38.8,0/3
9,2021020579,20,away,True,REG,Darryl Sutter,5,42.0,34,6,17,61.2,1/3
10,2021020586,6,home,True,REG,Bruce Cassidy,5,34.0,29,2,9,64.2,0/1
11,2021020586,1,away,False,REG,Lindy Ruff,3,26.0,25,2,13,35.8,0/1
12,2021020588,17,home,True,REG,Jeff Blashill,6,31.0,14,38,12,47.6,0/3
13,2021020588,28,away,False,REG,Bob Boughner,2,26.0,27,25,9,52.4,0/3
14,2021020589,13,home,True,REG,Andrew Brunette,6,45.0,39,4,17,54.5,2/3
15,2021020589,20,away,False,REG,Darryl Sutter,2,49.0,29,6,24,45.5,0/2
16,2021020590,29,home,False,REG,Brad Larsen,2,22.0,17,8,13,50.9,0/3
17,2021020590,14,away,True,REG,Jon Cooper,7,36.0,14,6,11,49.1,3/4
18,2021020591,16,home,False,OT,Derek King,3,31.0,29,9,21,46.7,2/3
19,2021020591,21,away,True,OT,Jared Bednar,4,33.0,31,11,12,53.3,0/2
20,2021020592,53,home,False,REG,André Tourigny,1,27.0,20,10,12,45.8,0/2
21,2021020592,52,away,True,REG,Dave Lowry,3,49.0,21,6,15,54.2,1/4
22,2021020593,54,home,False,REG,Peter DeBoer,2,43.0,34,11,13,55.7,0/3
23,2021020593,18,away,True,REG,John Hynes,3,26.0,55,13,21,44.3,0/1
24,2021020594,24,home,True,REG,Dallas Eakins,4,30.0,16,6,14,47.5,2/4
25,2021020594,4,away,False,REG,Mike Yeo,1,29.0,24,12,18,52.5,0/1
26,2021020596,10,home,True,REG,Sheldon Keefe,4,33.0,22,2,6,55.6,1/2
