,game_id,player_id,team_id,time_on_ice,pim,even_strength_shots_against,saves_shots_against,power_play_shots_against,goals_against
0,2020020224,8471418,25,58:42,0,20/23,27/31,5/6,4
1,2020020224,8473503,12,60:00,0,26/28,34/37,8/9,3
2,2020020225,8475831,21,60:00,0,31/32,35/37,3/4,2
3,2020020225,8481031,53,57:58,0,14/16,16/19,2/3,3
4,2020020226,8470594,54,58:43,0,24/25,27/28,2/2,1
5,2020020226,8476434,24,60:00,0,17/17,21/21,3/3,0
6,2020020227,8477361,26,60:00,0,25/26,29/31,3/4,2
7,2020020227,8482246,28,09:11,0,5/5,5/5,0/0,0
8,2020020227,8474889,28,50:49,0,16/19,20/26,4/7,6
9,2020020228,8478048,3,58:52,0,20/21,29/30,6/6,1
10,2020020228,8470860,6,60:00,0,15/15,21/21,5/5,0
11,2020020229,8474682,7,57:59,0,25/29,29/33,3/3,4
12,2020020229,8477970,15,60:00,0,28/31,30/33,2/2,3
13,2020020230,8473575,2,60:00,0,25/27,28/30,3/3,2
14,2020020230,8471695,6,57:11,0,32/34,38/42,3/4,4
15,2020020231,8470880,4,60:00,0,22/24,23/25,1/1,2
16,2020020231,8475809,1,58:16,0,20/23,27/31,4/5,4
17,2020020232,8475683,13,60:00,0,19/24,22/28,2/3,6
18,2020020232,8476883,14,60:00,0,22/23,33/34,9/9,1
19,2020020233,8480947,16,60:35,0,28/30,29/31,1/1,2
20,2020020233,8476914,29,60:35,0,25/28,28/31,3/3,3
21,2020020234,8471469,18,39:43,0,17/20,21/24,4/4,3
22,2020020234,8477424,18,19:32,0,4/5,5/6,1/1,1
23,2020020234,8473541,17,59:52,0,21/23,21/23,0/0,2
24,2020020235,8475883,10,58:28,0,23/25,23/25,0/0,2
25,2020020235,8471679,8,60:00,0,20/21,21/22,1/1,1
26,2020020236,8476945,52,59:49,0,26/28,27/29,1/1,2
27,2020020236,8477405,9,60:00,0,28/29,30/31,1/1,1
28,2020020237,8477967,23,60:00,0,17/18,18/19,1/1,1
29,2020020237,8474593,20,58:41,0,38/40,43/45,3/3,2
30,2020020238,8479979,25,63:29,0,14/16,18/21,2/3,3
31,2020020238,8477968,12,64:58,2,22/24,26/29,2/3,3
32,2020020239,8477293,53,61:49,0,26/31,30/35,4/4,5
33,2020020239,8478024,19,61:49,0,29/33,32/36,2/2,4
34,2020020240,8477361,26,57:53,0,18/20,20/23,2/3,3
35,2020020240,8475660,30,60:00,0,31/33,40/42,9/9,2
36,2020020241,8474889,28,59:15,0,29/32,29/33,0/1,4
37,2020020241,8476434,24,60:00,0,30/30,34/35,4/5,1
38,2020020242,8477465,5,60:00,0,22/24,28/31,6/7,3
39,2020020242,8477970,15,59:19,0,26/29,32/36,3/4,4
40,2020020243,8470594,54,59:58,0,30/30,30/30,0/0,0
41,2020020243,8475831,21,58:27,0,19/20,23/24,4/4,1
42,2020020244,8471695,6,58:15,0,21/22,24/25,3/3,1
43,2020020244,8475809,1,59:39,0,34/34,40/40,5/5,0
44,2020020245,8476999,7,58:02,0,23/25,26/29,3/4,3
45,2020020245,8473575,2,60:00,0,19/19,20/21,1/2,1
46,2020020246,8471306,17,64:43,0,16/19,21/24,4/4,3
47,2020020246,8476876,16,64:43,0,25/27,27/29,1/1,2
48,2020020247,8475883,10,61:46,0,23/28,25/31,1/1,6
49,2020020247,8477405,9,61:47,0,28/32,33/38,2/3,5
50,2020020248,8475156,22,35:40,0,11/13,11/13,0/0,2
51,2020020248,8469608,22,22:31,0,5/8,7/11,2/3,4
52,2020020248,8476945,52,60:00,0,35/39,40/45,2/3,5
53,2020020249,8477967,23,59:09,0,18/21,23/27,4/5,4
54,2020020249,8474593,20,60:23,0,23/23,30/33,4/6,3
55,2020020250,8479979,25,63:50,0,13/14,17/20,4/6,3
56,2020020250,8471469,18,65:00,0,28/30,35/38,4/5,3
57,2020020251,8475311,53,60:00,0,19/19,24/24,4/4,0
58,2020020251,8476412,19,58:55,0,14/15,18/19,3/3,1
59,2020020252,8474889,28,60:00,0,25/27,26/28,0/0,2
60,2020020252,8476434,24,58:22,0,22/24,26/29,3/4,3
