game_id,team_id,time_on_ice,pim,shots,saves,power_play_saves,short_handed_saves,goals_against,save_percentage
2000020044,21,3600,0.0,21,19,7,1,2,90.47619048
2000020044,23,3596,0.0,23,18,5,3,5,78.26086957
2000020045,27,3544,0.0,16,14,5,1,2,87.5
2000020045,28,3548,0.0,26,25,7,1,1,96.15384615
2000020045,28,52,0.0,0,0,0,0,0,
2000020046,1,3583,0.0,24,22,7,0,2,91.66666667
2000020046,9,3600,0.0,31,30,3,4,1,96.77419355
2000020047,14,3512,0.0,26,23,6,0,3,88.46153846
2000020047,5,3600,0.0,25,23,1,2,2,92.0
2000020048,12,3900,0.0,28,26,7,0,2,92.85714286
2000020048,13,3900,0.0,24,22,1,0,2,91.66666667
2000020049,30,3574,0.0,21,20,4,2,1,95.23809524
2000020049,19,3600,0.0,16,16,5,1,0,100.0
2000020050,15,3521,0.0,27,25,2,0,2,92.59259259
2000020050,18,3600,0.0,30,29,1,1,1,96.66666667
2000020051,7,3524,0.0,37,34,9,3,3,91.89189189
2000020051,22,3600,0.0,25,23,4,1,2,92.0
2000020052,6,2400,0.0,16,14,3,3,2,87.5
2000020052,6,1200,0.0,11,8,0,0,3,72.72727273
2000020052,26,3597,0.0,18,18,2,1,0,100.0
2000020053,9,3588,0.0,26,26,8,1,0,100.0
2000020053,10,3600,0.0,34,30,7,0,4,88.23529412
2000020054,16,3759,0.0,28,23,5,3,5,82.14285714
2000020054,8,3716,0.0,25,21,0,1,4,84.0
2000020055,24,2171,0.0,24,20,5,0,4,83.33333333
2000020055,24,1377,0.0,7,7,5,0,0,100.0
2000020055,1,3600,0.0,24,22,2,0,2,91.66666667
2000020056,20,3594,0.0,25,25,12,0,0,100.0
2000020056,2,3502,0.0,28,26,4,0,2,92.85714286
2000020057,3,583,0.0,2,2,0,0,0,100.0
2000020057,3,2952,0.0,33,25,10,0,8,75.75757576
2000020057,5,3592,0.0,25,19,6,1,6,76.0
2000020058,15,3600,0.0,20,17,5,0,3,85.0
2000020058,25,3574,0.0,12,12,1,1,0,100.0
2000020059,12,3527,0.0,34,32,3,2,2,94.11764706
2000020059,18,3579,0.0,24,23,7,0,1,95.83333333
2000020060,29,3600,0.0,33,30,9,1,3,90.90909091
2000020060,21,3572,0.0,15,14,3,4,1,93.33333333
2000020061,7,3600,2.0,32,28,6,1,4,87.5
2000020061,23,3600,0.0,27,27,4,3,0,100.0
2000020062,4,3545,0.0,30,25,7,3,5,83.33333333
2000020062,27,3600,0.0,36,33,12,1,3,91.66666667
2000020063,6,3596,0.0,30,26,8,0,4,86.66666667
2000020063,28,3600,0.0,23,21,4,1,2,91.30434783
2000020064,11,3600,0.0,31,26,13,0,5,83.87096774
2000020064,14,3599,0.0,22,20,4,1,2,90.90909091
2000020065,20,3600,0.0,30,28,8,5,2,93.33333333
2000020065,17,3492,0.0,37,33,8,2,4,89.18918919
2000020066,29,3525,0.0,31,29,5,0,2,93.5483871
2000020066,16,3600,0.0,16,15,2,0,1,93.75
2000020067,22,3600,0.0,28,25,7,1,3,89.28571429
2000020067,30,3548,0.0,26,21,2,3,5,80.76923077
2000020068,27,3600,0.0,35,30,8,0,5,85.71428571
2000020068,26,1774,0.0,10,8,0,0,2,80.0
2000020068,26,1757,0.0,11,7,3,0,4,63.63636364
2000020069,24,3592,0.0,28,25,4,0,3,89.28571429
2000020069,3,3540,0.0,29,25,4,0,4,86.20689655
2000020070,10,3585,2.0,28,24,12,0,4,85.71428571
2000020070,23,3592,0.0,15,13,3,0,2,86.66666667
2000020071,7,3599,0.0,30,26,4,3,4,86.66666667
2000020071,8,3599,0.0,29,26,6,0,3,89.65517241
2000020072,24,3600,0.0,27,24,2,0,3,88.88888889
2000020072,2,3560,0.0,32,28,6,1,4,87.5
2000020073,9,3600,0.0,22,21,3,0,1,95.45454545
2000020073,4,972,0.0,8,7,0,0,1,87.5
2000020073,4,2624,0.0,22,17,4,1,5,77.27272727
2000020074,21,3757,0.0,30,27,13,0,3,90.0
2000020074,15,3755,0.0,34,30,6,1,4,88.23529412
2000020075,1,3898,0.0,16,13,0,0,3,81.25
2000020075,11,3900,0.0,37,34,6,1,3,91.89189189
2000020076,19,3573,0.0,23,21,4,3,2,91.30434783
2000020076,17,3600,0.0,31,30,7,3,1,96.77419355
2000020077,26,3887,0.0,35,34,5,1,1,97.14285714
2000020077,18,3900,0.0,26,25,4,0,1,96.15384615
2000020078,6,1595,0.0,10,6,1,0,4,60.0
2000020078,6,2005,0.0,9,7,0,1,2,77.77777778
2000020078,22,3594,0.0,23,22,1,2,1,95.65217391
2000020079,12,3597,0.0,33,31,7,2,2,93.93939394
2000020079,5,3552,0.0,32,29,5,3,3,90.625
2000020080,21,3600,0.0,21,20,4,0,1,95.23809524
2000020080,29,3600,0.0,41,36,14,0,5,87.80487805
2000020081,3,3600,0.0,40,38,3,2,2,95.0
2000020081,16,3560,0.0,24,21,4,0,3,87.5
2000020082,28,3541,0.0,25,23,8,1,2,92.0
2000020082,25,3600,0.0,13,12,3,1,1,92.30769231
2000020083,14,3540,0.0,34,29,1,2,5,85.29411765
2000020083,14,24,0.0,0,0,0,0,0,
2000020083,30,3584,0.0,24,19,4,2,5,79.16666667
2000020084,20,3581,0.0,25,21,5,0,4,84.0
2000020084,23,3600,0.0,23,22,4,0,1,95.65217391
2000020085,13,3675,0.0,24,22,5,0,2,91.66666667
2000020085,27,3675,0.0,31,30,7,0,1,96.77419355
2000020086,5,3892,0.0,34,31,5,1,3,91.17647059
2000020086,9,3894,0.0,24,21,2,3,3,87.5
2000020087,8,3895,0.0,45,42,11,3,3,93.33333333
2000020087,4,3900,0.0,28,25,2,2,3,89.28571429
2000020088,1,2010,0.0,11,7,0,0,4,63.63636364
2000020088,1,1562,0.0,7,6,5,0,1,85.71428571
2000020088,15,3600,0.0,36,34,7,1,2,94.44444444
2000020089,18,3711,0.0,45,44,9,1,1,97.77777778
2000020089,17,3693,0.0,28,26,5,1,2,92.85714286
2000020090,26,3600,0.0,30,23,11,0,7,76.66666667
2000020090,19,3600,0.0,18,17,5,0,1,94.44444444
2000020091,10,3600,0.0,19,18,4,0,1,94.73684211
2000020091,22,3600,0.0,19,15,1,1,4,78.94736842
2000020092,24,3898,0.0,36,34,6,2,2,94.44444444
2000020092,7,3815,0.0,19,17,2,1,2,89.47368421
2000020092,7,27,0.0,0,0,0,0,0,
2000020093,2,3600,0.0,27,24,9,2,3,88.88888889
2000020093,11,2701,0.0,12,11,6,0,1,91.66666667
2000020093,11,899,0.0,17,13,5,1,4,76.47058824
2000020094,25,3598,0.0,18,17,1,1,1,94.44444444
2000020094,16,3600,0.0,35,30,6,1,5,85.71428571
2000020095,28,3597,0.0,22,21,4,1,1,95.45454545
2000020095,30,3586,0.0,33,30,10,2,3,90.90909091
2000020096,13,3600,0.0,39,34,13,3,5,87.17948718
2000020096,21,3600,2.0,25,24,5,0,1,96.0
2000020097,6,3575,0.0,30,27,2,2,3,90.0
2000020097,20,3600,0.0,20,18,3,0,2,90.0
2000020098,12,3559,0.0,22,18,4,0,4,81.81818182
2000020098,8,3593,0.0,20,18,3,1,2,90.0
2000020099,11,3892,0.0,38,32,4,1,6,84.21052632
2000020099,9,3900,0.0,39,33,5,0,6,84.61538462
2000020100,14,1194,0.0,12,12,0,2,0,100.0
2000020100,14,2400,0.0,32,25,7,0,7,78.125
2000020100,1,3600,0.0,15,13,4,0,2,86.66666667
2000020101,24,3583,0.0,32,29,6,2,3,90.625
2000020101,4,3542,0.0,23,19,2,2,4,82.60869565
2000020102,29,3586,0.0,35,31,10,5,4,88.57142857
2000020102,5,3600,0.0,37,35,10,1,2,94.59459459
2000020103,2,3900,0.0,42,38,5,1,4,90.47619048
